+--------------------------------------------------+------------------------+-----------------------+------------------------+
|                     formula                      |   operand 1 nnz (%)    |   operand 2 nnz (%)   |     result nnz (%)     |
|           tiGDLKwļEMÉR,RDK->tiGLwļEMÉR           |   280 / 4096 (6.84)    |     7 / 8 (87.50)     |   126 / 1024 (12.30)   |
|           tiGLwļEMÉR,SEL->tiGLwļEMÉRS            |   126 / 1024 (12.30)   |     7 / 8 (87.50)     |   212 / 2048 (10.35)   |
|           tiGLwļEMÉRS,SRL->tiGwļEMÉRS            |   212 / 2048 (10.35)   |     7 / 8 (87.50)     |   162 / 1024 (15.82)   |
|             tiGwļEMÉRS,SER->tiGwļMÉS             |   162 / 1024 (15.82)   |     7 / 8 (87.50)     |    60 / 256 (23.44)    |
|              tiGwļMÉS,Fi->tiGwļMÉSF              |    60 / 256 (23.44)    |     3 / 4 (75.00)     |   112 / 512 (21.88)    |
|            tiGwļMÉSF,TFM->tiGwļMÉSFT             |   112 / 512 (21.88)    |     7 / 8 (87.50)     |   184 / 1024 (17.97)   |
|                    T,TSM->TSM                    |     1 / 2 (50.00)      |     7 / 8 (87.50)     |     3 / 8 (37.50)      |
|            TSM,tiGwļMÉSFT->TStiGwļÉF             |     3 / 8 (37.50)      |   184 / 1024 (17.97)  |    48 / 512 (9.38)     |
|              TStiGwļÉF,TFS->tiGwļÉF              |    48 / 512 (9.38)     |     7 / 8 (87.50)     |    34 / 128 (26.56)    |
|               tiGwļÉF,Fß->tiGwļÉß                |    34 / 128 (26.56)    |     3 / 4 (75.00)     |    44 / 128 (34.38)    |
|                   àßÞ,àßÞ->àßÞ                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    àßÞ,à->ßÞ                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|                    ßÞ,Þi->ßi                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|               ßi,tiGwļÉß->ßitGwļÉ                |     3 / 4 (75.00)      |    44 / 128 (34.38)   |    42 / 128 (32.81)    |
|               ßitGwļÉ,ÉǕ->ßitGwļÉǕ               |    42 / 128 (32.81)    |     3 / 4 (75.00)     |    64 / 256 (25.00)    |
|              ßitGwļÉǕ,tȔ->ßitGwļÉǕȔ              |    64 / 256 (25.00)    |     3 / 4 (75.00)     |   116 / 512 (22.66)    |
|                   ȕȔȓ,ȕȔȓ->ȕȔȓ                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    ȕȔȓ,ȕ->Ȕȓ                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|                    Ȕȓ,ȓi->Ȕi                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|             Ȕi,ßitGwļÉǕȔ->ȔißtGwļÉǕ              |     3 / 4 (75.00)      |   116 / 512 (22.66)   |   112 / 512 (21.88)    |
|             ȔißtGwļÉǕ,ĻȔ->ißtGwļÉǕĻ              |   112 / 512 (21.88)    |     3 / 4 (75.00)     |   124 / 512 (24.22)    |
|             ißtGwļÉǕĻ,ĻǕ->ißtGwļÉǕĻ              |   124 / 512 (24.22)    |     3 / 4 (75.00)     |   104 / 512 (20.31)    |
|                   ĽļĻ,ĽļĻ->ĽļĻ                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    ĽļĻ,Ľ->ļĻ                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|             ļĻ,ißtGwļÉǕĻ->ļĻißtGwÉǕ              |     2 / 4 (50.00)      |   104 / 512 (20.31)   |    50 / 512 (9.77)     |
|                   ǟǞǝ,ǟǞǝ->ǟǞǝ                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    ǟǞǝ,ǟ->Ǟǝ                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|                    Ǟǝ,ǚǞ->ǝǚ                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    ǝǚ,ǝi->ǚi                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    ǚi,ǚi->ǚi                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                   ǜǛǚ,ǜǛǚ->ǜǛǚ                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    ǜǛǚ,ǜ->Ǜǚ                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|                    Ǜǚ,ĻǛ->ǚĻ                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    ǚĻ,ǚi->Ļi                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
